Country,Region,Project Name,Project Description,Status,Project URL,Effective Date,Commitment Amount,Pre/Post Paris Agreement,Year,Sector,Climate-Related
Regional,Regional,Developing Low-Carbon Pathways for Post-Pandemic Recovery Enabled by Transport Connectivity,The knowledge and support technical assistance (TA) will support the preparation of development pathways for post-pandemic recovery at the Asian Development Bank (ADB) headquarters and in selected developing member countries (DMCs) to improve futures thinking capacities and to develop pathways for recovery in the transport sector using strategic foresight methodologies.,Active,http://www.adb.org/projects/55310-001/main,23 Dec 2022,1000000.0,1,2022,Transport,Yes
Regional,Regional,Integrating Gender and Social Inclusion Dimensions in Climate Change Interventions in Southeast Asia,"The knowledge and support technical assistance (TA) will help Cambodia, Indonesia, the Lao People's Democratic Republic (Lao PDR), the Philippines, Thailand, Timor-Leste, and Viet Nam to integrate a gender and social inclusion dimension in national climate and green transformation policies, programs, and plans, including Nationally Determined Contributions (NDCs) under the Paris Agreement, and to develop options for a gender and socially inclusive green recovery following the coronavirus disease (COVID-19) pandemic. Gender and socially inclusive green recovery envisages transformation towards a climate-resilient and nature-driven future with emphasis on gender and social inclusion to maximize outcomes for both people and the environment. The TA will build capacity of the relevant government agencies through policy dialogue, case studies, and knowledge products; and by strengthening coordination and knowledge sharing in the Southeast Asia region and beyond.The TA is aligned with regional and national commitments to gender equality and sustainable development, including the ASEAN Gender Mainstreaming Strategic Framework 2021-2025, which calls for enhancing Member States' capacities for gender analyses to inform the design and implementation of policies, plans, and programs; the 2020 Enhanced Lima Work Programme on gender and its gender action plan under the United Nations Framework Convention on Climate Change (UNFCCC); and the Association of Southeast Asian Nations (ASEAN) Comprehensive Recovery Framework, which highlights the need for rapid digital and sustainability transformation in Southeast Asia. The TA is aligned with national gender equality policies of, and ADB's country partnership strategies for all participating developing member countries (DMCs), particularly with achieving inclusive and environmentally sustainable development, promoting women's economic empowerment, and advocating for women's participation in decision-making. The TA will support the following operational priorities (OP) of ADB's Strategy 2030: addressing poverty and reducing inequalities (OP 1), accelerating progress in gender equality (OP 2), tackling climate change (OP 3), strengthening governance and institutional capacity (OP 6), and fostering regional cooperation and integration (OP 7).",Active,http://www.adb.org/projects/56295-001/main,23 Dec 2022,1350000.0,1,2022,Energy,Yes
Regional,Regional,"Preparing the Pacific Renewable Energy Investment Facility, Phase 3","The proposed transaction technical assistance (TA) facility is aligned with ADB's Strategy 2030 operational priorities (OPs) 1, 2, 3, 4, 6 and 7 and aims to: (i)conduct required due diligence, provide project preparation, procurement, pre-implementation support, capacity building, and policy recommendations for two ensuing climate-adapted cross-sectoral integrated energy projects for approval in 2023-2025 under the Pacific Renewable Energy Investment Facility (PREIF). (ii) provide implementation support for the ensuing projects, and for other ongoing PREIF projects, as needed and subject to funds availability. (iii)assess the feasibility of, and, as appropriate, design a successor investment facility to replicate the PREIF's streamlined and programmatic approach, which has resulted in efficiency gains and outpaced ADB overall in project processing time and start-up compliance. This facility will be designed to align with the Asian Development Bank's (ADB) recent policy directions, including but not limited to the Energy Policy 2021, the Fragile and Conflict-Affected Situation and Small Island Developing States Approach 2021, and Paris Agreement alignment by 2025.(iv)identify potential eligible projects for processing under the PREIF and the successor facility, if approved, to help achieve ADB's $100 billion target for financing climate change mitigation, adaptation, and resilience by 2030.",Active,http://www.adb.org/projects/49450-038/main,23 Dec 2022,3500000.0,1,2022,Energy,Yes
People's Republic of China,East Asia,Net Zero Transformation and Innovative Finance Development,"The small-scale TA is designed to support technical knowledge and capacity development in the People's Republic of China (PRC). The demand for the TA evolved from the changing regional dynamics in the post-coronavirus disease (COVID-19) environment and the emerging business needs to (i) address climate change impact, and (ii) promote high-quality growth. In particular, the TA will provide innovative financial solutions to address the emerging sectors, including those in which the project commercial bankability is yet to be achieved. These areas include, for example, net zero agricultural transformation, ecosystem conservation and biodiversity on the East Asian-Australasia Regional Flyway, and disaster risk finance, which are ADB's operational priorities from 2023-2025. The TA objective to promote innovative and sustainable finance is aligned with (i) the PRC's 14th Five-Year Plan (2021-2025) and (ii) the ADB country partnership strategy 2021-2025 for PRC. The TA activities will broadly cover climate change mitigation and adaptation, including, but not limited to, low carbon development in the agriculture sector value chain (from seed to food), wetland protection, habitat restoration, carbon sink, ecotourism, public financial management, capital markets development, and/or other related areas. The TA will support policy advice, capacity building, research and development, and knowledge development and dissemination.",Active,http://www.adb.org/projects/56356-001/main,23 Dec 2022,225000.0,1,2022,Finance,No
Regional,Regional,Promoting Climate-Resilient and Sustainable Blue Economies,"The knowledge and support TA will support the establishment and initial implementation phase of the Blue Pacific Finance Hub (BPFH), a new regional initiative to support increased investments in ADB's 14 Pacific DMCs in climate-resilient and sustainable blue economies, through support for governance and planning, identification of issues and opportunities, regional capacity development, and knowledge sharing. The TA supports in-country and desk-based activities.",Active,http://www.adb.org/projects/56264-001/main,22 Dec 2022,2500000.0,1,2022,"Agriculture, natural resources and rural development",Yes
Regional,Regional,Smart and Livable Cities in Southeast Asia,"The knowledge and support technical assistance (TA) will support selected Southeast Asian developing member countries (DMCs) of the Asian Development Bank (ADB) to plan and develop livable cities that are smart, inclusive, environmentally sustainable, resilient, and competitive. The KSTA will leverage a OneADB approach and ADBs knowledge, finance, and partnerships to support project preparation and implementation, financing, and associated capacity development in the areas of (i) planning systems, (ii) service delivery, and (iii) financial management of the cities.",Active,http://www.adb.org/projects/56132-001/main,21 Dec 2022,750000.0,1,2022,Water and other urban infrastructure and services,No
Regional,Regional,A Differentiated Approach to Building Economic Management Capacity in the North Pacific,"The technical assistance (TA) will improve economic management capacity in the three North Pacific developing member countries (DMCs) of the Asian Development Bank (ADB): the Federated States of Micronesia (FSM), the Republic of the Marshall Islands (RMI), and the Republic of Palau. The TA will implement an approach that (i) supplements capacity to address specific gaps, and (ii) builds long-term economic management capacity (i.e., the design, analysis, implementation, and calibration of macro-fiscal and structural policies) in ministries of finance and/or planning offices to deliver sustainable improvements at the national level. Under the capacity supplementation component, economic management and/or statistics experts will be outposted on a long-term basis in the three North Pacific DMCs. Complementary capacity development will build sustainable national expertise by providing on-the-job skills training, education, and graduate training opportunities to local stakeholders. The TA will leverage the presence of outposted experts to address immediate economic management needs, while also providing hands-on mentorship to foster knowledge transfer to local staff and trainees. Together, these components will deepen domestic engagement in economic management, including in data collection and policy design and implementation.",Active,http://www.adb.org/projects/56022-001/main,21 Dec 2022,5000000.0,1,2022,Public sector management,No
Regional,Regional,Strengthening Knowledge in Regional Trade Agreements and International Investment Agreements for Greater Regional Integration and Promotion of Sustainable Development Goals in ADB Developing Member Countries,"The TA will help strengthen selected DMCs' knowledge about international trade agreements (ITAs) and international investment agreements (IIAs) which can lead to improved implementation through better intra-governmental coordination, governance and transparency; enhanced domestic policy making to advance the SDGs; and mitigation of dispute risk.",Active,http://www.adb.org/projects/56351-001/main,21 Dec 2022,725000.0,1,2022,Industry and trade,Yes
Pakistan,Central and West Asia,Subproject 6: Strengthening Gender Capacity of Pakistan's National Transmission Company,"The technical assistance subproject will support the implementation of Tranche 4 of the multitranche financing facility (MFF) for the Second Power Transmission Enhancement Investment Program in Pakistan. Specifically, it will help address the limited participation of women in technical and leadership positions in the National Transmission and Despatch Company Limited (NDTC) by promoting a workplace environment with equal opportunities for recruitment, skills development, and professional advancement of female personnel. It will also integrate community-based skills development for women as part of the NDTC's gender-responsive sustainable business practice.",Active,http://www.adb.org/projects/54111-011/main,21 Dec 2022,200000.0,1,2022,Energy,No
Regional,Regional,Global Research Alliances (Phase 4),"The knowledge and support technical assistance (TA) will carry out new research, publish knowledge products, and organize and sponsor events to bring knowledge solutions closer to policymakers of developing member countries (DMCs) of the Asian Development Bank (ADB), in line with Strategy 2030's operational priority 6: Strengthening governance and institutional capacity. These activities include engaging researchers from leading national, regional, and international research and academic institutions to undertake cutting-edge studies while ensuring open access to the data and findings. It also entails organizing conferences and sponsoring events organized by other knowledge and academic institutions to facilitate knowledge exchange from frontier research presented during these events, as well as to foster economists' networks within the region. Results of these research projects will be disseminated to DMC authorities and integrated into staff research that will feed into evidence-based policy recommendations addressing recent and traditional development challenges in DMCs.Three previous TA projects have focused on establishing global research alliances. The first was a pilot small-scale TA approved in April 2010 that supported ADB's collaboration with the Government of the People's Republic of China and selected leading universities. The second TA was approved in December 2011 supporting a greater number of institutional partners and covering a broader scope of collaboration. It financed a joint study on food security and established partnerships and networks with the Asian and Australasian Society of Labour Economics (AASLE), the Asian Workshop on Econometrics and Health Economics (AWEHE), the Indonesia Regional Science Association, and the Philippine Economic Society. It also brought an Asian perspective to global events such as the Emerging Markets Forum (EMF). The third TA was approved in December 2019 to maintain and develop affiliations with knowledge institutions such as AASLE, AWEHE, EMF, and the East Asian Economic Association (EAEA); publish the Asian Development Review (ADR); undertake studies on the impact of the coronavirus disease pandemic; sponsor events presenting cutting-edge, creative, and sustainable solutions to address DMCs' development challenges, including annual conferences of AASLE, AWEHE, EAEA, and EMF; and organize annual events such as the ADB Distinguished Speakers Program and the Asian Economic Development Conference (AEDC). This TA benefited from the lessons learned from the previous TAs, i.e., using the ADB website, rather than a project website, to disseminate the TA's knowledge products; collaborating with knowledge institutions and think tanks to leverage their skills; encouraging greater participation by policy makers in knowledge sharing events; and having flexibility in research topics to allow conduct of studies on emerging issues, such as the impact of the coronavirus disease pandemic. This knowledge and support TA is included in the 2022 work program of the Economic Research and Regional Cooperation Department (ERCD) that has been approved by the Vice President for Knowledge Management and Sustainable Development. It will continue the established partnerships from the prior TA projects and explore collaborations with new partners, such as the Association of Southeast Asian Nations Policy Network.",Active,http://www.adb.org/projects/56225-001/main,20 Dec 2022,1000000.0,1,2022,Public sector management,No
Regional,Regional,Strengthening Vocational High Schools in South Asia,"Vocational high schools have the potential to improve employability, productivity, and livelihoods of young workers in developing member countries (DMCs). However, since the pandemic the quality of learning at the vocational high schools in DMCs have dropped due to difficulty in delivering practical training. Republic of Korea's vocational high school system played most important role in its economic development and can be a good example for DMCs. The TA will strengthen vocational high schools in South Asia DMCs by providing students and teachers in South Asia DMCs with the opportunity to visit Seoul's vocational high schools and organizing knowledge sharing activities.",Active,http://www.adb.org/projects/56089-001/main,19 Dec 2022,270000.0,1,2022,Education,No
Regional,Regional,"Legal Toolkit for the Protection of Vital Ecosystems for Climate, Biodiversity, and Livelihoods","The TA will produce a legal toolkit to provide expanded policy options and legal mechanisms for the protection of ecosystems that are vital carbon sinks, home to rich biodiversity and sources of livelihoods. Although the TA will have particular focus on forests, it will cover oceans, given their significance to food and economic security and climate change especially in the Pacific DMCs.",Active,http://www.adb.org/projects/56316-001/main,19 Dec 2022,500000.0,1,2022,"Agriculture, natural resources and rural development",Yes
Thailand,South East Asia,Preparing the Climate Resilient Connectivity for the Eastern Economic Corridor Project: the Intercity Motorway No. 7 (Extension to Link with U-Tapao Airport),"The TA will support the government in preparing feasibility study on ensuing project with a coordination with TA 9621-REG. While TA 9621-REG will be focusing on suggesting solutions for making the project Paris Agreement aligned from climate change perspectives, the TA will carry out analysis of safeguards, economic and financial management, and gender aspects of the proposed project. The TA will provide guidance and support needed for the Department of Highways in shaping climate resilient technical solutions and preparation of the project implementation.",Active,http://www.adb.org/projects/56223-002/main,28 Dec 2022,700000.0,1,2022,Transport,Yes
Kyrgyz Republic,Central and West Asia,Strengthening Governance and Anti-Corruption in the Kyrgyz Republic,"ADB being a long-standing development partner of Kyrgyz Republic and helping government to achieve inclusive growth and good governance to reduce poverty. The corruption is an area which is globally considered a cause of poverty and also effect growth of private sector development. Promoting good governance and accountability functions in the country will help in achievement of ADB's investments to strengthen private sector for economic growth. The government is requesting ADB's support for the implementation of anti-corruption strategy and through this TA, ADB would be able to further strengthen its engagement with accountability institutions and other development partners who are supporting GOKR in combating corruption. The TA is in line with ADB's operational priority 6: strengthening governance and institutional capacity.",Active,http://www.adb.org/projects/56347-001/main,19 Dec 2022,225000.0,1,2022,Public sector management,No
Regional,Regional,Public Sector Accounting Standards (Eighth Phase),,Active,http://www.adb.org/projects/56266-001/main,16 Dec 2022,660000.0,1,2022,Public sector management,No
Philippines,South East Asia,Project Implementation Support and Institutional Strengthening for Road-Based Public Transport,"The Transaction technical assistance (TA) will help the Government to develop capacity to manage implementation and operation of the ensuing project, Davao Public Transport Modernization Project, and establish the institutional structures for project implementation and operations. The project is aligned with the following impact: inclusive mobility and accessibility of the mass transport network in Davao City improved. The project will have the following outcome: reliability, efficiency, and environmental impact of public transport improved. The project will help to (i) finance the development of a modern bus system in Davao City, which will be operated with performance-based contracts, environmentally friendly with 380 electric buses, and designed friendly to elderly people, women, children, and people with disabilities; (ii) strengthen institutional capacity of the City and DOTr, and (iii) implement the social development.A capacity development program will support the DOTr and Davao City Government in the early project implementation phase. Capacity development will include (i) consulting services to develop and implement a public communication strategy with project-affected persons, other stakeholders, and the wider public; and (ii) other support by consultants and training, as required, to accelerate project implementation schedule. Institutional capacity building will be conducted to establish, maintain, and strengthen the capacity of road-based public transport policy and planning division and project management units for road-based projects in the DOTr. ADB will administer the TA. The Transport and Communications Division of ADB's Southeast Asia Department will select, supervise, and evaluate consultants. The TA will be implemented in 24 months, from December 2022 to December 2024. The DOTr will be the executing agency and will provide necessary counterpart support and guide the implementation of the TA to achieve the TA outputs and desired outcomes within the agreed implementation period.",Active,http://www.adb.org/projects/45296-007/main,16 Dec 2022,225000.0,1,2022,Transport,No
Mongolia,East Asia,Preparing the Infrastructure Development for Green and Resilient New Satellite City in the Khushig Valley Area,"The project will support the development of the Khushig Valley area as a green, resilient, efficient, and inclusive satellite city around the New Ulaanbaatar International Airport. The proposed satellite city aims to attract residents, public services, and economic activities currently overconcentrated in Ulaanbaatar, the capital city of Mongolia. The transaction technical assistance will help the government prepare the investment project, which is a complex and multisector undertaking that requires full scale due diligence of the technical, economic, financial, social, resettlement, environmental, climate and disaster-resilience, and institutional aspects.",Active,http://www.adb.org/projects/56298-002/main,23 Dec 2022,1900000.0,1,2022,Energy,Yes
Cambodia,South East Asia,Improving Road Safety,"The knowledge and support technical assistance (KSTA) will support for sustainable, effective, and cost-efficient reduction of road fatalities in Cambodia by developing most urgent and cost-effective road safety programs ready for design and implementation along with the increased capacity of the Ministry of Public Works and Transport (MPWT) to implement them.The proposed KSTA is included in the current COBP, management-approved annual work program of the department or a sector or thematic group or endorsed corporate priority.",Active,http://www.adb.org/projects/56247-001/main,12 Jan 2023,1200000.0,1,2023,Transport,No
Mongolia,East Asia,Improving Safeguard Planning and Implementation in Mongolia,"The TA will improve environment and social risks management in the ongoing and future portfolio in Mongolia, through capacity building and project preparation and implementation support.",Active,http://www.adb.org/projects/56366-001/main,15 Dec 2022,225000.0,1,2022,"Agriculture, natural resources and rural development",No
Regional,Regional,"Supporting Evaluations for Development Effectiveness in Asia and the Pacific, 2023-2024 (Subproject 3)","The knowledge and support technical assistance cluster (C-KSTA) on Supporting Evaluations in Asia and the Pacific, 2020-2024, consisting of 3 subprojects, was approved by the Board of Directors of the Asian Development Bank (ADB) on a no-objection basis on 27 August 2020. Subprojects 1 and 2 of the C-KSTA (KSTA 6701 and KSTA 6896) are ongoing and currently programmed to fund the core evaluation work of the Independent Evaluation Department under its 2021-2023 work programs: 3 corporate evaluations, 3 thematic evaluations, 1 sector-wide evaluations, 2 regional program evaluations, 1 sector assistance program evaluation, and 1 real-time evaluation. KSTA Subproject 3 will fund similar high-level and other evaluations aimed at improving ADB's strategies, policies, processes, and operations.",Active,http://www.adb.org/projects/53354-004/main,15 Dec 2022,2100000.0,1,2022,"Agriculture, natural resources and rural development",No
Bangladesh,South Asia,Greater Dhaka Sustainable Urban Transport Project - Additional Financing,"The project will contribute to develop a sustainable urban transport system (UTS) in GCC, which forms part of north Greater Dhaka, through the delivery of a 20-kilometer (km) bus rapid transit (BRT) corridor. This pilot project provides a holistic solution for integrated urban mobility, bearing a demonstration effect as no modern mass transit system exists in Bangladesh yet.",Active,http://www.adb.org/projects/42169-024/main,08 Jan 2023,51660000.0,1,2023,Transport,Yes
Regional,Regional,Enabling a Just Transition to Low-Carbon and Climate-Resilient Economies and Societies in Asia and the Pacific,"The proposed knowledge and support TA will initiate activities under the Just Transition Support Platform to enhance the enabling environment for a just transition of ADB's DMCs to low-carbon and climate-resilient economies and societies. The TA will build DMC capacity to understand, strategically implement, and finance just transition, contributing to the achievement of their commitments under the Paris Agreement and the Sustainable Development Goals. It will also develop ADB operational approaches for just transition and ensure alignment of bank-wide just transition activities with the MDB Just Transition High-Level Principles, and support ADB Strategy 2030 vision of a prosperous, inclusive, resilient, and sustainable Asia and the Pacific.",Active,http://www.adb.org/projects/56227-001/main,14 Dec 2022,1130000.0,1,2022,Public sector management,Yes
Regional,Regional,"Operations, Knowledge, and Analytics Support in Fragile and Conflict-Affected Situations and Small Island Developing States","The TA will provide strategic support to enhance DMC and ADB capacity to implement differentiated approaches in fragile and conflict situations (FCAS) and in small island developing states (SIDS). Based on assessment of the causes and drivers of fragility and the multidimensional nature of risks and resilience factors, it will develop and apply new knowledge products, analytical tools, and business processes and procedures, adopt innovative technologies, and recruit experts experienced in these technologies. The TA is aligned with ADB's FCAS and SIDS Approach (FSA), approved in May 2021, which outlines an action plan (2021-2025) for ADB to achieve its Strategy 2030 objectives by adopting differentiated approaches to build resilience and improve development outcomes in FCAS, SIDS, and subnational pockets of fragility. The TA will support FSA implementation and strengthen links between the FSA and the plans for the seven operational priorities (OPs) of Strategy 2030 and ADB's Operational Plan for Private Sector Operations. The TA will also support FCAS and SIDS in achieving the Sustainable Development Goals.",Active,http://www.adb.org/projects/56177-001/main,14 Dec 2022,1300000.0,1,2022,Information and communication technology,No
People's Republic of China,East Asia,Integrating Lessons and Experiences from Air Quality Improvement Program in the Greater Beijing-Tianjin-Hebei Region,,Active,http://www.adb.org/projects/56322-001/main,14 Dec 2022,225000.0,1,2022,Energy,Yes
Armenia,Central and West Asia,Supporting the Improvement of Management of Hazardous Waste in Armenia,"The knowledge and support technical assistance (TA) will help the Ministry of Environment of Armenia improve the management of hazardous chemicals by building the capacity of national agencies on analyzing and developing recommendations for improving hazardous waste (HW) management to address both the existing legacy and the continuous generation of new accumulation. It should be noted that this concept does not address the management of radioactive, mining, and medical waste.",Active,http://www.adb.org/projects/56256-001/main,14 Dec 2022,225000.0,1,2022,Water and other urban infrastructure and services,Yes
Regional,Regional,Adaptation Metrics to Scale Up and Align Investment with Climate-Resilient Development,"The knowledge and support technical assistance (TA) will improve the capacity of the public and private sector in developing member countries (DMCs) to apply adaptation metrics in developing adaptation plans and linking these to public and private sources of finance. The TA will deliver two outputs to improve the capacity of public and private sector actors to apply adaptation metrics to support investment planning, namely: (i) evidence base on adaptation metrics expanded, and (ii) tools to apply adaptation metrics developed.",Active,http://www.adb.org/projects/55117-001/main,14 Dec 2022,1000000.0,1,2022,Public sector management,Yes
Regional,Regional,Development of Pacific Power Utilities Reform Network,"The knowledge and support technical assistance (TA) will support the development of a network to help state-owned power utilities achieve a greater understanding of utility corporate reforms in Pacific developing member countries (DMCs). As the Asian Development Bank (ADB) continues to support clean and renewable energy in Pacific DMCs, the TA will create and share regional knowledge and enhance the performance reporting and disclosure frameworks of state-owned utilities. The TA will pilot regional benchmarking and key performance indicator (KPI) dashboards, supporting power utilities' corporate transformation roadmaps in Pacific DMCs, with a view of replication in other energy sector state-owned enterprises (SOEs) in other ADB DMCs.",Active,http://www.adb.org/projects/56020-001/main,13 Dec 2022,900000.0,1,2022,Energy,No
Regional,Regional,Enabling Green Recovery in Central and West Asia through a Sustainable Financing Program,"The knowledge and support technical assistance (TA) program will address requests from the governments of the developing member countries (DMCs) of the Central and West Asia Department (CWRD) of the Asian Development Bank (ADB) to support their post-coronavirus disease (COVID-19) green recovery by enabling the strategic adoption of globally acceptable sustainable financing standards and practices by their sovereign institutions. To achieve the Strategy 2030 objectives, the TA program will help enhance the capabilities of CWRD DMC sovereign institutions to conceptualize sustainable financing strategies, identify priority investment projects, facilitate appropriate private sector participation, address institutional barriers, and adopt internationally accepted sustainable financing practices.",Active,http://www.adb.org/projects/56117-001/main,13 Dec 2022,1925000.0,1,2022,Finance,Yes
Regional,Regional,Program to Enhance Capabilities of Sovereign Institutions in the Central and West Asia Region to Introduce Innovative Financing Modalities,"The knowledge and support technical assistance (TA) program will address interest expressed by the governments of the Asian Development Bank (ADB) developing member countries (DMCs) of Central and West Asia in leveraging private capital to address gaps in the financing of the Sustainable Development Goals (SDGs) using innovative financing modalities. The TA will focus on advising and assisting sovereign institutions and their stakeholders on strengthening their institutional capabilities to (i) develop a better understanding of various innovative financing modalities being implemented globally to correct specific market failures, realize opportunities, and overcome institutional limitations; (ii) validate the use of complex financing modalities and de-risking mechanisms to tap new sources of private financing for SDG financing gaps; (iii) strengthen the role of sovereign institutions in enabling the flow of private institutional capital for economic additionality, such as high social impact investments; (iv) facilitate novel partnership and contracting arrangements with the private sector, such as outcome-based financing; (v) explore innovative financing instruments to transfer disaster risks at the central and regional levels; and (vi) explore approaches and modalities that encourage the blending of other sources of capital (official development assistance, and private and other similar sources) with traditional forms of ADB financing, such as sovereign loans funded by ordinary capital resources and/or grants. The TA is aligned with ADB's Strategy 2030 vision of supporting DMCs in accelerating the development of approaches to catalyze private financing for achieving the SDGs. The TA supports the implementation of SDG 9 and SDG 17.",Active,http://www.adb.org/projects/56136-001/main,13 Dec 2022,3125000.0,1,2022,Public sector management,No
