Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Climate Change Response,Climate Change Impact on the Project,Adaptation Finance ($ million),Mitigation Finance ($ million),Type of Financing,Currency,Project URL
16-Sep-2021,53022-001,Landslide Risk Management Sector Project,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWER,Sovereign,39.000,Sector grant,Loan,4085,ADB funds,Concessional OCR,11.500,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Medium,5.750,,Investment,USD,https://www.adb.org/projects/53022-001/main
16-Sep-2021,53022-001,Landslide Risk Management Sector Project,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWER,Sovereign,,Sector grant,Grant,0793,ADB funds,ADF,23.500,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Medium,11.750,,Investment,USD,https://www.adb.org/projects/53022-001/main
21-May-2021,49055-007,Balakot Hydropower Development Project,PAK,Pakistan,Central and West Asia,CWRD,CWEN,Sovereign,755.000,Project Loan,Loan,4057,ADB funds,OCR,300.000,Energy,Energy,Dual-use,High,2.790,297.210,Investment,USD,https://www.adb.org/projects/49055-007/main
21-May-2021,49055-007,Balakot Hydropower Development Project,PAK,Pakistan,Central and West Asia,CWRD,CWEN,Sovereign,,Project loan,Loan,8397,Cofinancing (Partial administration),Asian Infrastructure Investment Bank,250.000,Energy,Energy,Dual-use,High,2.330,247.670,Investment,USD,https://www.adb.org/projects/49055-007/main
18-Dec-2021,53165-002,Energy Sector Reforms and Financial Sustainability Program (Subprogram 2),PAK,Pakistan,Central and West Asia,CWRD,CWEN,Sovereign,300.000,Programmatic Approach Policy-Based Lending (Loan),Loan,4159,ADB funds,Concessional OCR,300.000,Energy,Energy,Mitigation,Low,,87.000,Investment,USD,https://www.adb.org/projects/53165-002/main
28-Dec-2021,54123-001,Urban Transport Electrification Project,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWEN,Sovereign,59.550,Project loan,Loan,4149,ADB funds,Concessional OCR,25.000,Energy,Energy,Mitigation,Low,,12.500,Investment,USD,https://www.adb.org/projects/54123-001/main
28-Dec-2021,54123-001,Urban Transport Electrification Project,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWEN,Sovereign,,Project loan,Loan,4149,ADB funds,Concessional OCR,,Energy,Transport,Mitigation,Low,,12.500,Investment,USD,https://www.adb.org/projects/54123-001/main
28-Dec-2021,54123-001,Urban Transport Electrification Project,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWEN,Sovereign,,Project loan,Grant,0808,ADB funds,ADF,25.000,Energy,Energy,Mitigation,Low,,12.500,Investment,USD,https://www.adb.org/projects/54123-001/main
28-Dec-2021,54123-001,Urban Transport Electrification Project,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWEN,Sovereign,,Project loan,Grant,0808,ADB funds,ADF,,Energy,Transport,Mitigation,Low,,12.500,Investment,USD,https://www.adb.org/projects/54123-001/main
28-Dec-2021,54123-001,Urban Transport Electrification Project,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWEN,Sovereign,,Project loan,Grant,0809,Cofinancing (Full administration),High Level Technology Fund,0.650,Energy,Energy,Mitigation,Low,,0.325,Investment,USD,https://www.adb.org/projects/54123-001/main
28-Dec-2021,54123-001,Urban Transport Electrification Project,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWEN,Sovereign,,Project loan,Grant,0809,Cofinancing (Full administration),High Level Technology Fund,,Energy,Transport,Mitigation,Low,,0.325,Investment,USD,https://www.adb.org/projects/54123-001/main
10-Dec-2021,45233-007,Integrated Social Protection Development Program,PAK,Pakistan,Central and West Asia,CWRD,CWPF,Sovereign,"6,327.000",Results Based Lending,Loan,4154,ADB funds,OCR,600.000,Public sector management,Public sector management,Adaptation,Low,17.500,,Investment,USD,https://www.adb.org/projects/45233-007/main
10-Dec-2021,45233-007,Integrated Social Protection Development Program,PAK,Pakistan,Central and West Asia,CWRD,CWPF,Sovereign,,Results Based Lending,Loan,4154,ADB funds,OCR,,Public sector management,Health,Adaptation,Low,6.250,,Investment,USD,https://www.adb.org/projects/45233-007/main
10-Dec-2021,45233-007,Integrated Social Protection Development Program,PAK,Pakistan,Central and West Asia,CWRD,CWPF,Sovereign,,Results Based Lending,Loan,4154,ADB funds,OCR,,Public sector management,Education,Adaptation,Low,7.750,,Investment,USD,https://www.adb.org/projects/45233-007/main
10-Dec-2021,45233-007,Integrated Social Protection Development Program,PAK,Pakistan,Central and West Asia,CWRD,CWPF,Sovereign,,Results Based Lending,Grant,0814,ADB funds,ADF,3.000,Public sector management,Public sector management,Adaptation,Low,,,Investment,USD,https://www.adb.org/projects/45233-007/main
10-Dec-2021,45233-007,Integrated Social Protection Development Program,PAK,Pakistan,Central and West Asia,CWRD,CWPF,Sovereign,,Results Based Lending,Grant,0815,Cofinancing (Full administration),Education Above All Foundation,24.480,Public sector management,Public sector management,Adaptation,Low,,,Investment,USD,https://www.adb.org/projects/45233-007/main
22-Dec-2021,48404-004,Central Asia Regional Economic Cooperation Corridor Development Investment Program (Tranche 2),PAK,Pakistan,Central and West Asia,CWRD,CWTC,Sovereign,270.830,MFF-Tranche (Loan),Loan,4099,ADB funds,OCR,235.000,Transport,Transport,Adaptation,Medium,25.419,,Investment,USD,https://www.adb.org/projects/48404-004/main
15-Dec-2021,51036-002,Khyber Pakhtunkhwa Cities Improvement Project,PAK,Pakistan,Central and West Asia,CWRD,CWUW,Sovereign,650.000,Project loan,Loan,4160,ADB funds,OCR,372.848,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,25.700,81.129,Investment,USD,https://www.adb.org/projects/51036-002/main
15-Dec-2021,51036-002,Khyber Pakhtunkhwa Cities Improvement Project,PAK,Pakistan,Central and West Asia,CWRD,CWUW,Sovereign,,Project loan,Grant,0816,ADB funds,ADF,5.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,,,Investment,USD,https://www.adb.org/projects/51036-002/main
15-Dec-2021,51036-002,Khyber Pakhtunkhwa Cities Improvement Project,PAK,Pakistan,Central and West Asia,CWRD,CWUW,Sovereign,,Project loan,Loan,8412,Cofinancing (Partial administration),Asian Infrastructure Investment Bank,200.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,13.240,41.794,Investment,USD,https://www.adb.org/projects/51036-002/main
31-Dec-2021,53109-001,Climate- and Disaster-Resilient Irrigation and Drainage Modernization in the Vakhsh River Basin Project,TAJ,Tajikistan,Central and West Asia,CWRD,CWER,Sovereign,36.200,Project grant,Grant,0810,ADB funds,ADF,30.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,High,7.200,2.100,Investment,USD,https://www.adb.org/projects/53109-001/main
29-Dec-2021,53271-001,Central Asia Regional Economic Cooperation Corridor 2 (Bukhara-Miskin-Urgench-Khiva) Railway Electrification Project,UZB,Uzbekistan,Central and West Asia,CWRD,CWTC,Sovereign,445.655,Project loan,Loan,4170,ADB funds,OCR,162.000,Transport,Transport,Dual-use,Medium,4.020,157.980,Investment,USD,https://www.adb.org/projects/53271-001/main
29-Dec-2021,53271-001,Central Asia Regional Economic Cooperation Corridor 2 (Bukhara-Miskin-Urgench-Khiva) Railway Electrification Project,UZB,Uzbekistan,Central and West Asia,CWRD,CWTC,Sovereign,,Project loan,Loan,8414,Cofinancing (Partial administration),Asian Infrastructure Investment Bank,108.000,Transport,Transport,Dual-use,Medium,2.680,105.320,Investment,USD,https://www.adb.org/projects/53271-001/main
29-Dec-2021,52045-001,Tashkent Province Sewerage Improvement Project,UZB,Uzbekistan,Central and West Asia,CWRD,CWUW,Sovereign,186.600,Project loan,Loan,4146,ADB funds,OCR,161.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,15.000,32.600,Investment,USD,https://www.adb.org/projects/52045-001/main
1-Dec-2021,53049-001,Jiangxi Ganzhou Rural Vitalization and Comprehensive Environment Improvement Project,PRC,People's Republic of China,East Asia,EARD,EAER,Sovereign,453.910,Project Loan,Loan,4136,ADB funds,OCR,191.182,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,44.770,35.170,Investment,USD,https://www.adb.org/projects/53049-0012/main
18-Oct-2021,53053-001,Henan Xichuan Integrated Ecological Protection and Environmental Improvement Project,PRC,People's Republic of China,East Asia,EARD,EAER,Sovereign,466.760,Project loan,Loan,4070,ADB funds,OCR,197.900,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,10.030,8.260,Investment,USD,https://www.adb.org/projects/53053-001/main
26-Mar-2021,53050-001,Hunan Xiangxi Rural Environmental Improvement and Green Development Project,PRC,People's Republic of China,East Asia,EARD,EAER,Sovereign,420.729,Project Loan,Loan,4046,ADB funds,OCR,200.524,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,9.027,17.781,Investment,USD,https://www.adb.org/projects/53050-001/main
2-Dec-2021,50050-005,Guangxi Regional Cooperation and Integration Promotion Investment Program - Tranche 3,PRC,People's Republic of China,East Asia,EARD,EAPF,Sovereign,326.700,MFF-Tranche (Loan),Loan,4122,ADB funds,OCR,140.000,Industry and trade,Industry and trade,Dual-use,Medium,1.910,3.950,Investment,USD,https://www.adb.org/projects/50050-005/main
29-Nov-2021,52245-001,Public Service Sector Public-Private Partnership Promotion and Elderly Care Demonstration Project,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,307.260,Project loan,Loan,4101,ADB funds,OCR,140.785,Health,Health,Dual-use,Medium,0.300,0.420,Investment,USD,https://www.adb.org/projects/52245-001/main
23-Dec-2021,51384-001,Guangxi Hezhou Environment Restoration and Sustainable Development Project,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,236.061,Project loan,Loan,4140,ADB funds,OCR,95.013,Health,Health,Dual-use,Medium,0.334,1.389,Investment,USD,https://www.adb.org/projects/51384-001/main
23-Dec-2021,51384-001,Guangxi Hezhou Environment Restoration and Sustainable Development Project,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,,Project loan,Loan,4140,ADB funds,OCR,,Health,"Agriculture, natural resources and rural development",Dual-use,Medium,7.930,3.538,Investment,USD,https://www.adb.org/projects/51384-001/main
4-Nov-2021,53060-001,Shaanxi Xi′an Preschool Education Development Program,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,"2,225.130",Results Based Lending,Loan,4073,ADB funds,OCR,146.110,Education,Education,Dual-use,Low,2.630,0.324,Investment,USD,https://www.adb.org/projects/53060-001/main
6-Aug-2021,54196-001,COVID-19 Response for Affected Poor and Vulnerable Groups Project,PAL,Palau,Pacific,PARD,PASP,Sovereign,3.766,Project grant,Grant,0796,ADB funds,ADF,0.766,Public sector management,Public sector management,Adaptation,Low,,,Investment,USD,https://www.adb.org/projects/54196-001/main
6-Aug-2021,54196-001,COVID-19 Response for Affected Poor and Vulnerable Groups Project,PAL,Palau,Pacific,PARD,PASP,Sovereign,,Project grant,Grant,9220,Cofinancing (Full administration),Japan Fund for Poverty Reduction,2.400,Public sector management,Public sector management,Adaptation,Low,1.026,,Investment,USD,https://www.adb.org/projects/54196-001/main
6-Aug-2021,54196-001,COVID-19 Response for Affected Poor and Vulnerable Groups Project,PAL,Palau,Pacific,PARD,PASP,Sovereign,,Project grant,Grant,0797,Cofinancing (Full administration),Ireland Trust Fund for Building Climate Change and Disaster Resilience in Small Island Developing States,0.550,Public sector management,Public sector management,Adaptation,Low,,,Investment,USD,https://www.adb.org/projects/54196-001/main
17-Dec-2021,49450-027,Renewable Energy Development Project (additional financing),FSM,Federated States of Micronesia,Pacific,PARD,PAEN,Sovereign,4.200,Project grant,Grant,0813,ADB funds,ADF,4.000,Energy,Energy,Dual-use,Low,0.300,0.100,Investment,USD,https://www.adb.org/projects/49450-027/main
17-Dec-2021,49450-026,Energy Security Project (additional financing),RMI,Marshall Islands,Pacific,PARD,PAEN,Sovereign,7.700,Project grant,Grant,0817,ADB funds,ADF,7.000,Energy,Energy,Dual-use,High,0.200,0.400,Investment,USD,https://www.adb.org/projects/49450-026/main
7-Dec-2021,49450-029,Energy Access Project (Additional Financing),VAN,Vanuatu,Pacific,PARD,PLCO,Sovereign,7.200,Project Loan,Grant,0811,ADB funds,ADF,6.000,Energy,Energy,Mitigation,Low,,5.400,Investment,USD,https://www.adb.org/projects/49450-029/main
29-Oct-2021,51271-003,Urban Water Supply and Sanitation Sector Project (Additional Financing),SOL,Solomon Islands,Pacific,PARD,PAUW,Sovereign,5.247,Project grant,Grant,0801,Cofinancing (Full administration),Global Environment Facility (Least Developed Countries Fund),4.587,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,High,4.587,,Investment,USD,https://www.adb.org/projects/51271-003/main
22-Jul-2021,53421-002,Land and Maritime Connectivity Project Tranche 1,SOL,Solomon Islands,Pacific,PARD,PATC,Sovereign,49.150,MFF-Tranche (Loan),Loan,4086,ADB funds,Concessional OCR,24.420,Transport,Transport,Adaptation,High,0.405,,Investment,USD,https://www.adb.org/projects/53421-002/main
22-Jul-2021,53421-002,Land and Maritime Connectivity Project Tranche 1,SOL,Solomon Islands,Pacific,PARD,PATC,Sovereign,,MFF-Tranche (Loan),Grant,0794,ADB funds,ADF,19.460,Transport,Transport,Adaptation,High,0.405,,Investment,USD,https://www.adb.org/projects/53421-002/main
14-Oct-2021,48444-005,"Sustainable Highlands Highway Investment Program, Tranche 2",PNG,Papua New Guinea,Pacific,PARD,PATC; PNRM,Sovereign,395.000,MFF-Tranche (Loan),Loan,4094,ADB funds,OCR,285.000,Transport,Transport,Adaptation,High,57.040,,Investment,USD,https://www.adb.org/projects/48444-005/main
14-Oct-2021,48444-005,"Sustainable Highlands Highway Investment Program, Tranche 2",PNG,Papua New Guinea,Pacific,PARD,PATC; PNRM,Sovereign,,MFF-Tranche (Loan),Loan,4095,ADB funds,Concessional OCR,40.000,Transport,Transport,Adaptation,High,8.010,,Investment,USD,https://www.adb.org/projects/48444-005/main
23-Dec-2021,45207-006,Irrigation Management Improvement Project - Additional Financing,BAN,Bangladesh,South Asia,SARD,SAER,Sovereign,14.630,Project loan,Loan,4120,ADB funds,Concessional OCR,13.500,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,4.000,2.400,Investment,USD,https://www.adb.org/projects/45207-006/main
29-Nov-2021,54336-001,Supporting Post-COVID-19 Small-Scale Employment Creation Project,BAN,Bangladesh,South Asia,SARD,SAPF,Sovereign,150.900,Credit line (loan),Loan,4142,ADB funds,Concessional OCR,150.000,Finance,Finance,Adaptation,Low,15.000,,Investment,USD,https://www.adb.org/projects/54336-001/main
4-Oct-2021,53382-002,South Asia Subregional Economic Cooperation Dhaka–Sylhet Corridor Road Investment Project-Tranche 1,BAN,Bangladesh,South Asia,SARD,SATC,Sovereign,882.900,MFF-Tranche (Loan),Loan,4108,ADB funds,OCR,400.000,Transport,Transport,Adaptation,High,78.516,,Investment,USD,https://www.adb.org/projects/53382-002/main
3-Nov-2021,51252-005,Financial Market Development Program (Subprogram 3),BHU,Bhutan,South Asia,SARD,SAPF,Sovereign,30.000,Programmatic Approach Policy-Based Lending (Loan),Loan,4130,ADB funds,Concessional OCR,30.000,Finance,Finance,Dual-use,Low,1.150,1.150,Investment,USD,https://www.adb.org/projects/51252-005/main
23-Dec-2021,54355-001,Green and Resilient Affordable Housing Sector Project,BHU,Bhutan,South Asia,SARD,SAUW,Sovereign,38.000,Sector loan,Loan,4150,ADB funds,Concessional OCR,24.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,High,4.800,7.200,Investment,USD,https://www.adb.org/projects/54355-001/main
23-Dec-2021,54355-001,Green and Resilient Affordable Housing Sector Project,BHU,Bhutan,South Asia,SARD,SAUW,Sovereign,,Sector loan,Grant,0812,ADB funds,ADF,6.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,High,,,Investment,USD,https://www.adb.org/projects/54355-001/main
8-Sep-2021,52328-002,Maharashtra Rural Connectivity Improvement Project - Additional Financing,IND,India,South Asia,SARD,SAER,Sovereign,441.900,Project Loan,Loan,4097,ADB funds,OCR,300.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,78.640,18.010,Investment,USD,https://www.adb.org/projects/52328-002/main
26-Oct-2021,53264-001,Maharashtra Agribusiness Network Project,IND,India,South Asia,SARD,SAER,Sovereign,145.400,Mixed DFI-project,Loan,4117,ADB funds,OCR,100.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,0.230,0.140,Investment,USD,https://www.adb.org/projects/53264-001/main
17-Dec-2021,53277-002,Assam Skill University Project,IND,India,South Asia,SARD,SAHS,Sovereign,141.150,Project Loan,Loan,4166,ADB funds,OCR,112.000,Education,Education,Dual-use,Medium,1.880,30.930,Investment,USD,https://www.adb.org/projects/53277-002/main
25-Nov-2021,54465-001,Industrial Corridor Development Program (Subprogram 1),IND,India,South Asia,SARD,SAPF,Sovereign,251.000,Programmatic Approach Policy-Based Lending (Loan),Loan,4138,ADB funds,OCR,250.000,Industry and trade,Industry and trade,Adaptation,Low,25.000,,Investment,USD,https://www.adb.org/projects/54465-001/main
16-Jun-2021,51337-001,Tamil Nadu Industrial Connectivity Project,IND,India,South Asia,SARD,SATC,Sovereign,904.600,Project Loan,Loan,4062,ADB funds,OCR,484.000,Transport,Transport,Adaptation,High,42.504,,Investment,USD,https://www.adb.org/projects/51337-001/main
7-Dec-2021,53067-004,"Inclusive, Resilient, and Sustainable Housing for Urban Poor Sector Project in Tamil Nadu",IND,India,South Asia,SARD,SAUW,Sovereign,216.500,Sector loan,Loan,4106,ADB funds,OCR,150.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,48.870,1.300,Investment,USD,https://www.adb.org/projects/53067-004/main
26-Oct-2021,49107-009,Integrated Urban Flood Management for the Chennai-Kosasthalaiyar Basin Project,IND,India,South Asia,SARD,SAUW,Sovereign,470.500,Project loan,Loan,4113,ADB funds,OCR,251.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,High,87.000,,Investment,USD,https://www.adb.org/projects/49107-009/main
8-Sep-2021,52028-004,Jharkhand Urban Water Supply Improvement Project,IND,India,South Asia,SARD,SAUW,Sovereign,160.000,Project loan,Loan,4092,ADB funds,OCR,112.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,6.115,4.540,Investment,USD,https://www.adb.org/projects/52028-004/main
17-Dec-2021,55054-001,Sustainable Urban Development and Service Delivery Program (Subprogram 1),IND,India,South Asia,SARD,SAUW,Sovereign,351.500,Programmatic Approach Policy-Based Lending (Loan),Loan,4158,ADB funds,OCR,350.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Low,75.690,31.990,Investment,USD,https://www.adb.org/projects/55054-001/main
7-Dec-2021,38272-044,Uttarakhand Integrated and Resilient Urban Development Project,IND,India,South Asia,SARD,SAUW,Sovereign,157.250,Project loan,Loan,4148,ADB funds,OCR,125.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,16.490,56.640,Investment,USD,https://www.adb.org/projects/38272-044/main
12-Nov-2021,53262-001,Agartala City Urban Development Project,IND,India,South Asia,SARD,SAUW,Sovereign,77.250,Project loan,Loan,4133,ADB funds,OCR,61.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,Medium,6.520,,Investment,USD,https://www.adb.org/projects/53262-001/main
3-Dec-2021,51073-004,Delhi-Meerut Regional Rapid Transit System Investment Project - Tranche 2,IND,India,South Asia,SARD,SATC,Sovereign,"1,299.600",MFF-Tranche (Loan),Loan,8410,Cofinancing (Partial administration),Asian Infrastructure Investment Bank,500.000,Transport,Transport,Dual-use,Medium,1.470,498.530,Investment,USD,https://www.adb.org/projects/51073-004/main
26-Nov-2021,54107-002,Electricity Grid Modernization Project – Additional Financing,NEP,Nepal,South Asia,SARD,SAEN,Sovereign,75.000,Project loan,Loan,4109,ADB funds,Concessional OCR,60.000,Energy,Energy,Dual-use,Medium,0.500,26.900,Investment,USD,https://www.adb.org/projects/54107-002/main
9-Jul-2021,55085-001,Responsive COVID-19 Vaccines for Recovery Project under the Asia Pacific Vaccine Access Facility,SRI,Sri Lanka,South Asia,SARD,SAHS,Sovereign,161.850,Asia Pacific Vaccine Access Facility,Loan,4083,ADB funds,OCR,84.000,Health,Health,Dual-use,Medium,1.000,0.160,Investment,USD,https://www.adb.org/projects/55085-001/main
9-Jul-2021,55085-001,Responsive COVID-19 Vaccines for Recovery Project under the Asia Pacific Vaccine Access Facility,SRI,Sri Lanka,South Asia,SARD,SAHS,Sovereign,,Asia Pacific Vaccine Access Facility,Loan,4084,ADB funds,OCR,66.000,Health,Health,Dual-use,Medium,1.475,0.210,Investment,USD,https://www.adb.org/projects/55085-001/main
7-Oct-2021,51107-003,Health System Enhancement Project - Additional Financing,SRI,Sri Lanka,South Asia,SARD,SAHS,Sovereign,123.000,Project loan,Loan,4121,ADB funds,OCR,110.000,Health,Health,Dual-use,Medium,6.280,3.050,Investment,USD,https://www.adb.org/projects/51107-003/main
7-Oct-2021,51107-003,Health System Enhancement Project - Additional Financing,SRI,Sri Lanka,South Asia,SARD,SAHS,Sovereign,,Project loan,Grant,9222,Cofinancing (Full administration),Japan Fund for Poverty Reduction,3.000,Health,Health,Dual-use,Medium,,0.630,Investment,USD,https://www.adb.org/projects/51107-003/main
28-May-2021,50301-004,Second Integrated Road Investment Program-Tranche 3,SRI,Sri Lanka,South Asia,SARD,SATC,Sovereign,215.720,MFF-Tranche (Loan),Loan,4067,ADB funds,OCR,200.000,Transport,Transport,Adaptation,Medium,9.900,,Investment,USD,https://www.adb.org/projects/50301-004/main
8-Dec-2021,44263-016,"Inclusive Financial Sector Development Program, Subprogram 3",CAM,Cambodia,Southeast Asia,SERD,SEPF,Sovereign,40.000,Programmatic Approach Policy-Based Lending (Loan),Loan,4128,ADB funds,Concessional OCR,40.000,Finance,Finance,Dual-use,Low,4.740,1.230,Investment,USD,https://www.adb.org/projects/44263-016/main
8-Dec-2021,53199-001,Livable Cities Investment Project,CAM,Cambodia,Southeast Asia,SERD,SEUW,Sovereign,196.100,Project loan,Loan,4143,ADB funds,Concessional OCR,180.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,30.860,5.460,Investment,USD,https://www.adb.org/projects/53199-001/main
8-Dec-2021,53372-001,Road Network Improvement Project (Phase 2),CAM,Cambodia,Southeast Asia,SERD,SETC,Sovereign,90.000,Project loan,Loan,4119,ADB funds,Concessional OCR,82.048,Transport,Transport,Dual-use,Medium,7.740,0.650,Investment,USD,https://www.adb.org/projects/53372-001/main
8-Dec-2021,48118-005,Greater Mekong Subregion Health Security Project (Additional Financing),CAM,Cambodia,Southeast Asia,SERD,SEHS,Sovereign,35.000,Project loan,Loan,4125,ADB funds,Concessional OCR,25.000,Health,Health,Mitigation,Medium,,4.580,Investment,USD,https://www.adb.org/projects/48118-005/main
